Grain,Al,Al_se,Ca,Ca_se,Cl,Cl_se,Fe,Fe_se,K,K_se,Mg,Mg_se,Mn,Mn_se,Nb,Nb_se,O,O_se,P,P_se,S,S_se,Si,Si_se,Sr,Sr_se,Ti,Ti_se,V,V_se,W,W_se,Zn,Zn_se
Hematite_Senin_05,0.001019354885706005,3.372838781361393e-06,,,,,0.3942048441365073,1.306653048714484e-05,,,,,,,,,0.6047758009777866,1.3127390996744764e-05,,,,,,,,,,,,,,,,
Hematite_Senin_06,0.0018514378141247115,3.3427942555334694e-06,,,,,0.3930962300126737,1.3146514854834133e-05,,,,,,,,,0.6050523321732015,1.338065669402274e-05,,,,,,,,,,,,,,,,
Illmenite_03,,,,,,,0.182143672391307,1.235708965145236e-05,,,,,0.019267241625652725,3.3347982899604806e-06,0.001988847574664648,2.058973775989688e-06,0.6271936609693132,2.277749278938618e-05,,,,,,,,,0.168125547924252,1.1125077441109948e-05,0.001281029514810482,2.789758139829028e-06,,,,
Illmenite_04,,,,,,,0.1854314586675045,1.2069460441382517e-05,,,,,0.018355953866085618,3.163799447349553e-06,0.001923175213837367,2.019313483325471e-06,0.6303480457500905,2.17673029765468e-05,,,,,,,,,0.16257065099877585,1.0417576062745427e-05,0.0013707155037061085,2.790528835826963e-06,,,,
Illmenite_05,,,,,,,0.1889954096691027,1.1692630733324967e-05,,,,,0.018576857218993267,3.2278683799121526e-06,0.002114563667883122,2.0584359456985226e-06,0.6231228682910562,2.0483179107816737e-05,,,,,,,,,0.1671903011529648,9.997680227052385e-06,,,,,,
Magnetite_ph_04,0.0015933195784062228,3.446699843706821e-06,,,,,0.41780083437115295,1.4276084157700342e-05,,,,,,,,,0.5799389113353121,1.4445613109693365e-05,,,,,0.0006669347151287157,2.824014747564516e-06,,,,,,,,,,
Magnetite_ph_05,0.002676332728279141,3.582688810966911e-06,,,,,0.41357073453780574,1.3893391116750639e-05,,,,,,,,,0.5832186849335979,1.4111446092558639e-05,,,,,0.0005342478003173434,2.785377291797007e-06,,,,,,,,,,
Magnetite_ph_06,0.004255351359204209,3.628873116109322e-06,,,,,0.4113808683285187,1.3483900538647667e-05,,,,,,,,,0.5836889884838874,1.3816539802595321e-05,,,,,0.0006747918283896451,2.785465855960381e-06,,,,,,,,,,
Goethite_04,0.0033326761704755,2.981831139638979e-06,0.0008191993869235946,1.4446728713584854e-06,,,0.2878030333404128,1.0317354179845974e-05,,,,,0.0006587288763729931,1.8891925632817486e-06,,,0.6901217946579213,1.1107385599097864e-05,0.013430567952790393,2.829587320333278e-06,,,0.0038339996151033826,2.4985060578750775e-06,,,,,,,,,,
Goethite_05,0.003377589565666223,2.968046593798773e-06,0.0007998921907453068,1.476753439248789e-06,,,0.2875158636824602,1.0489201807967919e-05,,,,,,,,,0.6909506553091539,1.1174304885370177e-05,0.013471151200364776,2.8836505998710794e-06,,,0.0038848480516096694,2.570866777644325e-06,,,,,,,,,,
Goethite_06,0.002938095155376334,2.9184076430108905e-06,0.0007930260797099555,1.460734955169848e-06,,,0.28757841095938663,1.026730240348102e-05,,,,,0.0008028418718604427,1.8179578951318668e-06,,,0.6903647317142926,1.1071315996769388e-05,0.01348823532614736,2.821132852505909e-06,,,0.0040346588932266385,2.5863939011858663e-06,,,,,,,,,,
