Grain,Al,Al_se,Ca,Ca_se,Cl,Cl_se,Fe,Fe_se,K,K_se,Mg,Mg_se,Mn,Mn_se,Nb,Nb_se,O,O_se,P,P_se,S,S_se,Si,Si_se,Ti,Ti_se,V,V_se
LRa02_grain_54,,,,,,,0.41151416718704975,1.3732065572549984e-05,,,,,,,,,0.5855124704837897,1.3729365631623953e-05,,,,,0.002973362329160486,2.225584274350029e-06,,,,
LRa02_grain_55,0.0319744237405782,4.7494517999366916e-06,0.0009650786347770026,1.620535770401615e-06,,,0.3068616812671636,1.1839183317625712e-05,0.0006321359883668941,1.6727807233779859e-06,0.04983950374794379,7.549040081516595e-06,0.0020493544951333416,2.3083331657493784e-06,,,0.5477808530887397,1.546440096773471e-05,,,,,0.05265287707891203,4.619379500100905e-06,0.006690749130473961,2.6763566122466938e-06,0.0005533428279114326,1.259283975147431e-06
LRa02_grain_56,0.010580471190363512,4.56888897359377e-06,0.0004231192122954796,1.5868648322375996e-06,,,0.3710368835536862,1.238062186228752e-05,0.0006087787704303791,1.5769185957388979e-06,,,,,,,0.5960368549648108,1.3249873823634378e-05,,,,,0.01766456579081688,4.355514914758177e-06,0.0029810089094910726,1.2996113365024263e-06,0.000668317608105642,1.2216174977470586e-06
LRa02_grain_57,,,,,,,0.4071995545854157,1.325336573187667e-05,,,,,,,,,0.586723948930054,1.3341590703297979e-05,,,,,0.005284107648994531,2.2546864325585057e-06,0.0007923888355357973,1.3123957254813997e-06,,
LRa02_grain_58,0.009604996221068392,4.3899632914884266e-06,0.000499938692165081,1.515700796251324e-06,,,0.3724814376592482,1.2052098872645186e-05,,,,,,,,,0.5980351526959575,1.3153365283678708e-05,,,,,0.01362279404930361,4.3076343458515515e-06,0.004451141675804731,2.5115274187459876e-06,0.0013045390064523492,1.165751967815322e-06
LRa02_grain_59,0.0067532176945681,4.743482607441321e-06,0.0007846512221911916,1.6252972171924271e-06,,,0.3944176962887233,1.340225609910619e-05,,,,,,,,,0.5818620191820545,1.4278457161308605e-05,,,,,0.011728799629563918,4.552605174637165e-06,0.0030761617889265283,1.341476205837803e-06,0.0013774541939724928,1.2442688214525189e-06
LRa02_grain_60,,,0.0007244976179784744,1.4633368665196392e-06,,,0.3300614623117962,1.097100629049982e-05,,,,,,,,,0.6580246187369183,1.1425056171006977e-05,0.0007300674818561366,1.8646619581491498e-06,,,0.010459353851450942,4.198803820605505e-06,,,,
LRa02_grain_61,,,,,,,0.4050856874515749,1.2837455695904498e-05,,,,,,,,,0.5889908996269169,1.2980588030013133e-05,,,,,0.005384362785551382,2.17070578944209e-06,,,0.0005390501359568849,1.2499024579799364e-06
LRa02_grain_62,,,,,,,0.3879085292290704,1.3164175119231537e-05,,,,,,,,,0.584790464302473,1.3783807763001327e-05,,,,,0.026015800802929066,4.67185651246875e-06,,,0.0012852056655276844,1.3027448057815806e-06
LRa02_grain_63,0.006936721090469145,4.702856642697528e-06,0.0010193973905161789,1.5901205242872362e-06,,,0.37188267292679195,1.285487898071692e-05,,,,,,,,,0.5989225566207911,1.3582175472911935e-05,,,,,0.015016392009370586,4.4287033793100786e-06,0.0056864750726638245,2.6218432950525987e-06,0.0005357848893972256,1.2076430424265185e-06
LRa02_grain_64,0.004906475754652109,4.51257381868857e-06,0.010339247567603549,1.5495438184014355e-06,,,0.3699990371815893,1.3492829730116414e-05,0.0004347027952616516,1.5672244490506967e-06,,,,,,,0.5908446044896133,1.4654990871773526e-05,0.005923599242296104,2.0209390172331975e-06,,,0.009674636086978196,4.412283235691887e-06,0.00787769688200588,2.550487153512999e-06,,
LRa02_grain_65,0.0123557855203377,4.849493333298214e-06,0.0007986025067401189,1.6221681184557409e-06,,,0.3784429607044405,1.3322242029934958e-05,0.00045355116899965786,1.6560559227797164e-06,0.012840307913347383,5.271083065105129e-06,,,,,0.5701749616758013,1.4540492760209301e-05,,,,,0.021208712697029942,4.432871959776923e-06,0.002889256551379026,1.3449794218985457e-06,0.0008358612619243592,1.274838373185541e-06
LRa02_grain_66,0.012356073606026755,4.678332842645554e-06,0.0007956123599024589,1.5855092572633238e-06,,,0.37845960798623857,1.348135810506146e-05,0.00045603715011305096,1.6698601016296664e-06,0.012834679929855354,5.210125866731277e-06,,,,,0.5701738690195686,1.4774461216300862e-05,,,,,0.02120149961338391,4.517045747611802e-06,0.0028880297390366507,1.3450144299687242e-06,0.0008345905958746255,1.2721473157019469e-06
LRa02_grain_67,,,,,,,0.41110937122387503,1.3327485739681555e-05,,,,,,,,,0.5842942432075992,1.3437098216342857e-05,,,,,0.004596385568525887,2.3008721910390307e-06,,,,
